"State Code","County Code","Site Number","Parameter Code","POC","Latitude","Longitude","Datum","Parameter Name","Duration Description","Pollutant Standard","Date (Local)","Year","Day In Year (Local)","Units of Measure","Exceptional Data Type","Nonreg Observation Count","Observation Count","Observation Percent","Nonreg Arithmetic Mean","Arithmetic Mean","Nonreg First Maximum Value","First Maximum Value","First Maximum Hour","AQI","Daily Criteria Indicator","Tribe Name","State Name","County Name","City Name","Local Site Name","Address","MSA or CBSA Name","Data Source"
"06","083","0011","42602","1","34.427775","-119.691218","WGS84","Nitrogen dioxide (NO2)","1 HOUR","NO2 Annual 1971","2017-01-02","2017","002","Parts per billion","None","","23","96.0000","","8.217391","","16","8","15","Y","","California","Santa Barbara","Santa Barbara","Santa Barbara","700 E. CANON PERDIDO","Santa Maria-Santa Barbara, CA","AQS Data Mart"
"06","083","0011","62201","2","34.427775","-119.691218","WGS84","Relative Humidity","1 HOUR","","2017-01-02","2017","002","Percent relative humidity","None","","24","100.0000","","79.020833","","89.4","6",".","Y","","California","Santa Barbara","Santa Barbara","Santa Barbara","700 E. CANON PERDIDO","Santa Maria-Santa Barbara, CA","AQS Data Mart"
"06","083","0011","62101","2","34.427775","-119.691218","WGS84","Outdoor Temperature","1 HOUR","","2017-01-02","2017","002","Degrees Fahrenheit","None","","24","100.0000","","51.85","","56.1","12",".","Y","","California","Santa Barbara","Santa Barbara","Santa Barbara","700 E. CANON PERDIDO","Santa Maria-Santa Barbara, CA","AQS Data Mart"
"06","083","0011","42101","3","34.427775","-119.691218","WGS84","Carbon monoxide","8-HR RUN AVG END HOUR","CO 8-hour 1971","2017-01-02","2017","002","Parts per million","None","","24","100.0000","","0.3375","","0.5","0","6","Y","","California","Santa Barbara","Santa Barbara","Santa Barbara","700 E. CANON PERDIDO","Santa Maria-Santa Barbara, CA","AQS Data Mart"
"06","083","0011","42101","3","34.427775","-119.691218","WGS84","Carbon monoxide","1 HOUR","CO 1-hour 1971","2017-01-02","2017","002","Parts per million","None","","23","96.0000","","0.290087","","0.611","8",".","Y","","California","Santa Barbara","Santa Barbara","Santa Barbara","700 E. CANON PERDIDO","Santa Maria-Santa Barbara, CA","AQS Data Mart"
"06","083","0011","42601","1","34.427775","-119.691218","WGS84","Nitric oxide (NO)","1 HOUR","","2017-01-02","2017","002","Parts per billion","None","","23","96.0000","","3.73913","","21","8",".","Y","","California","Santa Barbara","Santa Barbara","Santa Barbara","700 E. CANON PERDIDO","Santa Maria-Santa Barbara, CA","AQS Data Mart"
"06","083","0011","42603","1","34.427775","-119.691218","WGS84","Oxides of nitrogen (NOx)","1 HOUR","","2017-01-02","2017","002","Parts per billion","None","","23","96.0000","","11.943478","","37","8",".","Y","","California","Santa Barbara","Santa Barbara","Santa Barbara","700 E. CANON PERDIDO","Santa Maria-Santa Barbara, CA","AQS Data Mart"
"06","083","0011","61103","1","34.427775","-119.691218","WGS84","Wind Speed - Resultant","1 HOUR","","2017-01-02","2017","002","Knots","None","","24","100.0000","","1.408333","","5.1","12",".","Y","","California","Santa Barbara","Santa Barbara","Santa Barbara","700 E. CANON PERDIDO","Santa Maria-Santa Barbara, CA","AQS Data Mart"
"06","083","0011","61104","1","34.427775","-119.691218","WGS84","Wind Direction - Resultant","1 HOUR","","2017-01-02","2017","002","Degrees Compass","None","","24","100.0000","","185.166667","","344","7",".","Y","","California","Santa Barbara","Santa Barbara","Santa Barbara","700 E. CANON PERDIDO","Santa Maria-Santa Barbara, CA","AQS Data Mart"
"06","083","0011","44201","1","34.427775","-119.691218","WGS84","Ozone","8-HR RUN AVG BEGIN HOUR","Ozone 8-hour 2015","2017-01-02","2017","002","Parts per million","None","","17","100.0000","","0.027294","","0.036","10","33","Y","","California","Santa Barbara","Santa Barbara","Santa Barbara","700 E. CANON PERDIDO","Santa Maria-Santa Barbara, CA","AQS Data Mart"
